name,start_date,end_date,location,category,link
Symphony Orchestra,Saturday 30th November 2019 (14:00-15:15,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-symphony-orchestra.aspx
Wind Band and String Orchestra,Sunday 1st December 2019 (15:00-17:00,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-wind-band-string-orchestra.aspx
Ziyu He and Marie Hauzel,Wednesday 4th December 2019 (19:30-21:30,N/A,Barber Concert Hall,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-evening-ziyu-he-marie-hauzel.aspx
The Caucasian Chalk Circle,Thursday 5th (19:30),Saturday 7th December 2019 (22:00),George Cadbury Hall - 998 Bristol Road - Selly Oak - B29 6LG,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/edacs/departments/drama/events/2019/caucasion-chalk-circle.aspx
A New Song,Friday 6th December 2019 (13:00-14:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-lunchtime-a-new-song.aspx
Philharmonic Orchestra,Saturday 7th December 2019 (19:30-21:30,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-philharmonic-orchestra.aspx
University Chorus,Sunday 8th December 2019 (15:00-17:00,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-university-chorus.aspx
University Carol Service,Monday 9th December 2019 (18:15-20:00,N/A,Great Hall - Aston Webb Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/university-carol-service.aspx
"(Im)Mobilities – Art, Agency and Migration.  Followed by a staged reading of Suicidal Dog & Laika",Wednesday 11th December 2019 (14:00-19:00,N/A,Gisbert Kapp N334,"Arts and Law, Lectures Talks and Workshops, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/languages/events/2019/art-agency-migration.aspx
Boxwood and Brass: A Georgian Country House Christmas,Friday 13th December 2019 (13:00-14:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-lunchtime-boxwood-brass.aspx
Birmingham University Singers at Tenbury Wells,Saturday 14th (18:30),Sunday 15th December 2019 (10:00),St Michael’s Church,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/university-music-birmingham-uni-singers.aspx
Sestina,Wednesday 5th February 2020 (19:30-21:30,N/A,Barber Concert Hall,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-evening-sestina.aspx
Comment Is Free,Thursday 13th (19:30),Saturday 15th February 2020 (22:00),George Cadbury Hall - 998 Bristol Road - Selly Oak - B29 6LG,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/edacs/departments/drama/events/2020/comment-is-free.aspx
Animal Farm,Thursday 19th (19:30),Saturday 21st March 2020 (22:00),George Cadbury Hall - 998 Bristol Road - Selly Oak - B29 6LG,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/edacs/departments/drama/events/2020/animal-farm.aspx
History of the University of Birmingham,Friday 7th June 2019 (09:00),Friday 31st January 2020 (18:00),Main Library Atrium,Exhibitions,https://www.birmingham.ac.uk/events/exhibitions/History-of-the-University-of-Birmingham.aspx
Executive Programme in Strategic Commissioning (4 day course),Thursday 17th October (00:00),Friday 6th December 2019 (00:00),Edgbaston Campus,"Lectures Talks and Workshops, Social Sciences, Teaching",https://www.birmingham.ac.uk/schools/government/departments/local-government-studies/events/2019/strategic-commissioning.aspx
An Evening with Ruskin,Thursday 21st November 2019 (19:00),Saturday 21st November 2020 (21:00),"Museum of Natural History, OX1 3PW, Oxford, Parks Road","Arts and Law, Lectures Talks and Workshops, Research",https://blog.bham.ac.uk/19cc/2019/09/18/21-november-an-evening-with-ruskin/
Why are rare earth elements/magnets critical in a modern society?,Monday 25th November 2019 (17:30-18:30,N/A,124 Chemical Engineering,"Engineering and Physical Sciences, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/university/colleges/eps/events/inaugural-lecture/allan-walton-25-11-19-inaugural-lecture.aspx
Boost up your languages! (Year 12 & 13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Boost-up-your-languages.aspx
Criminal Law: Streetlaw (Years 10-13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Criminal-Law-Streetlaw.aspx
Image/Body/Art (Years 10-13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Image-Body-Art.aspx
Philharmonic Orchestra (Year 7 & 8),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Philharmonic-Orchestra.aspx
Research and Evaluation Skills (Year 12 & 13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Research-and-Evaluation-Skills.aspx
The Physics of Rockets (Year 7 & 8),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/The-physics-of-rockets.aspx
Where do medicines come from? (Year 12 & 13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Where-do-medicines-come-from.aspx
Write What You Don't Know (Years 11-13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Write-What-You-Dont-Know.aspx
Philosophy Society Seminar Series,Wednesday 27th November 2019 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2019/philsoc2711.aspx
"Making the social care future, together",Thursday 28th November 2019 (17:30-19:00,N/A,"Alan Walters Building  G11, Edgbastion Campus, University of Birmingham","Lectures Talks and Workshops, Medical and Dental Sciences, Social Sciences",https://www.birmingham.ac.uk/research/health-and-social-care-leadership/events/2019/making-the-social-care-future-together.aspx
Birmingham History Day 2019,Saturday 30th November 2019 (10:00-16:30,N/A,Large Lecture Theatre - 1st Floor - Arts Building - University of Birmingham - B15 2TT,"Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2019/birmingham-history-day-2019.aspx
Lapworth Lecture - The Ecological Time Machine,Monday 2nd December 2019 (17:00-18:00,N/A,"Lecture Theatre WG5, Ground Floor, Aston Webb Building (R4)","Lectures Talks and Workshops, Life and Environmental Sciences",https://www.birmingham.ac.uk/facilities/lapworth-museum/events/lectures/2019/2Dec-LapworthLecture.aspx
On Secularism and Multiculturalism,Tuesday 3rd December 2019 (17:30-19:30,N/A,Lecture Room 5 - Arts Building,"Arts and Law, Lectures Talks and Workshops, Research, Students",https://www.birmingham.ac.uk/schools/ptr/departments/theologyandreligion/research/cpur/events/2019/tariq-momood.aspx
"Are Governments ""Murdering"" its citizens? (Year 11)",Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Are-Governments-Murdering-its-citizens.aspx
Can seaweed prevent intestinal disease? (Year 12 & 13),Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Can-seaweed-prevent-intestinal-disease.aspx
De Quincey's Confessions (1821) (Year 12 & 13),Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/De-Quinceys-Confessions-1821.aspx
Reading and Writing Fanfiction (Years 10-13),Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Reading-and-Writing-Fanfiction.aspx
Volcanic and Seismic Hazards at the Lapworth Museum of Geology (Years 11-13),Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Volcanic-and-Seismic-Hazards.aspx
What's your problem?! (Years 10-13),Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Whats-your-problem.aspx
"New Approaches to Medieval Romance from the Eastern Mediterranean and Beyond, c. 1100-1500",Thursday 5th December 2019 (10:30-19:30,N/A,715 Muirhead Tower,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/historycultures/departments/caha/events/2020/bomgs-new-approaches.aspx
Hair in the BBC's The Hollow Crown: the Wars of the Roses,Thursday 5th December 2019 (14:00-15:00,N/A,"Stratford-upon-Avon, The Shakespeare Institute","Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/edacs/departments/shakespeare/events/2019/ts0512.aspx
Ezra's Legacy and the Dead Sea Scrolls conference,Sunday 8th (09:00),Tuesday 10th December 2019 (17:00),University of Birmingham,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/theologyandreligion/events/2019/ezra-in-the-dead-sea-scrolls.aspx
The silence about Ezra in the Dead Sea Scrolls: where do we go from here?,Monday 9th December 2019 (20:00-21:30,N/A,"B1 1BB, Birmingham, Birmingham City Council, The Chamberlain Room, Victoria Square, West Midlands","Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/theologyandreligion/events/2019/ezra-in-the-dead-sea-scrolls.aspx
A Victorian Christmas at the V&A,Wednesday 11th December 2019 (13:00-13:45,N/A,"The Lydia & Manfred Gorvy Lecture Theatre, V&A South Kensington","Arts and Law, Lectures Talks and Workshops, Research",https://blog.bham.ac.uk/19cc/2019/03/11/11-december-a-victorian-christmas-the-va/
Collecting Female Artists (Year 12 & 13),Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Collecting-Female-Artists.aspx
"Exam anxiety: What is it, why do students experience it, and what can be done about it? (Year 11, 12 & 13)",Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Exam-anxiety.aspx
Intensive Care Physiotherapy (Years 10-12),Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Intensive-Care-Physiotherapy.aspx
The Eye: Fact or Fiction (Years 11-13),Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/The-Eye-Fact-or-Fiction.aspx
Try a new language! (GCSE - Session 2) (Year 10 & 11),Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Try-a-new-language-GCSE-2.aspx
Why should I look after my gums? (Year 12 & 13),Wednesday 11th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Why-should-I-look-after-my-gums.aspx
"(Im)Mobilities – Art, Agency and Migration.  Followed by a staged reading of Suicidal Dog & Laika",Wednesday 11th December 2019 (14:00-19:00,N/A,Gisbert Kapp N334,"Arts and Law, Lectures Talks and Workshops, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/languages/events/2019/art-agency-migration.aspx
What We May Be,Wednesday 11th December 2019 (16:00-17:00,N/A,"Stratford upon Avon, The Other Place","Arts and Law, Lectures Talks and Workshops, Students",https://www.birmingham.ac.uk/schools/edacs/departments/shakespeare/top/events/2019/what-we-may-be.aspx
STECA - Second Temple Early Career Academy,Wednesday 11th (09:00),Thursday 12th December 2019 (17:00),University of Birmingham,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/theologyandreligion/research/projects/ezras-legacy/steca.aspx
Philosophy Society Seminar Series,Wednesday 15th January 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc1501.aspx
The inaugural lecture of Professor Colin Watts – 'How Charles Darwin and making brains glow in the dark can inform clinical trials for brain cancer',Wednesday 15th January 2020 (16:30-17:30,N/A,"Leonard Deacon Lecture Theatre, Birmingham Medical School, B1 on Edgbaston Campus Map","Lectures Talks and Workshops, Medical and Dental Sciences, Research",https://www.birmingham.ac.uk/university/colleges/mds/events/2020/01/colin-watts.aspx
Protecting the Environment and Improving Lives: How Can Elusive 'Win-Win' Outcomes Be Achieved?,Wednesday 22nd January 2020 (18:00-19:00,N/A,Alan Walters Building - G03,"Lectures Talks and Workshops, Social Sciences",https://www.birmingham.ac.uk/university/colleges/socsci/events/inaugural-lectures/2019/protecting-the-environment.aspx
The Vice-Chancellor's Distinguished Lecture Series – Dr Tristram Hunt,Tuesday 11th February 2020 (18:00-19:00,N/A,"Elgar, Elgar Concert Hall, Bramall Music Building (R12)",Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/distinguished-lectures/vcdlTristramHunt.aspx
The Hidden Life of Henry Reed,Wednesday 12th February 2020 (13:05-13:55,N/A,Cadbury Research Library - Chamberlain Seminar Room,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/lectures/The-Hidden-Life-of-Henry-Reed.aspx
Philosophy Society Seminar Series,Wednesday 12th February 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc1202.aspx
"Internationalism, peace and reconciliation: Anglo-German connections in the Youth Hostels movement 1930-1950",Friday 28th February 2020 (13:10-14:00,N/A,Cadbury Research Library Seminar Room,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/lectures/Internationalism-peace-and-reconciliation-Anglo-German-connections-in-the-Youth-Hostels-movement-1930-1950.aspx
Philosophy Society Seminar Series,Wednesday 4th March 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc0403.aspx
Philosophy Society Seminar Series,Wednesday 29th April 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc2904.aspx
Beowulf on the Whale-Road: Reading a North Sea poem through Water-Philology,Wednesday 27th May 2020 (00:01-23:59,N/A,To be confirmed,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2020/cesma-annual-lecture.aspx
Philosophy Society Seminar Series,Wednesday 27th May 2020 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philsoc2705.aspx
The Vice-Chancellor's Distinguished Lecture Series – Baroness Hale,Tuesday 2nd June 2020 (18:00-19:00,N/A,"Elgar, Elgar Concert Hall, Bramall Music Building (R12)",Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/distinguished-lectures/vcdlBaronessHale.aspx
The Third International Conference on Philosophy and Meaning in Life,Wednesday 17th (00:01),Friday 19th June 2020 (23:59),University of Birmingham,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2020/philosophy-and-meaning-in-life.aspx
History of the University of Birmingham,Friday 7th June 2019 (09:00),Friday 31st January 2020 (18:00),Main Library Atrium,Exhibitions,https://www.birmingham.ac.uk/events/exhibitions/History-of-the-University-of-Birmingham.aspx
Jack's Adventures with Salt,Wednesday 17th July 2019 (10:00),Saturday 29th February 2020 (17:00),N/A,"Exhibitions, Life and Environmental Sciences",https://www.birmingham.ac.uk/facilities/lapworth-museum/events/exhibitions/2019/08July-JacksAdventuresWithSalt.aspx
Executive Programme in Strategic Commissioning (4 day course),Thursday 17th October (00:00),Friday 6th December 2019 (00:00),Edgbaston Campus,"Lectures Talks and Workshops, Social Sciences, Teaching",https://www.birmingham.ac.uk/schools/government/departments/local-government-studies/events/2019/strategic-commissioning.aspx
An Evening with Ruskin,Thursday 21st November 2019 (19:00),Saturday 21st November 2020 (21:00),"Museum of Natural History, OX1 3PW, Oxford, Parks Road","Arts and Law, Lectures Talks and Workshops, Research",https://blog.bham.ac.uk/19cc/2019/09/18/21-november-an-evening-with-ruskin/
Why are rare earth elements/magnets critical in a modern society?,Monday 25th November 2019 (17:30-18:30,N/A,124 Chemical Engineering,"Engineering and Physical Sciences, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/university/colleges/eps/events/inaugural-lecture/allan-walton-25-11-19-inaugural-lecture.aspx
A Train Station on the Left. The Making of a Socialist Public Sphere in Romania (1882-1914),Tuesday 26th November 2019 (16:00-17:30,N/A,Arts G13,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2019/brihc-anca-mandru.aspx
Breakfast Brainstorm - November 2019,Wednesday 27th November 2019 (09:00-11:00,N/A,Starbucks - Muirhead Tower,Research,https://www.birmingham.ac.uk/events/events/Breakfast-Brainstorm-November-2019.aspx
Boost up your languages! (Year 12 & 13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Boost-up-your-languages.aspx
Criminal Law: Streetlaw (Years 10-13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Criminal-Law-Streetlaw.aspx
Image/Body/Art (Years 10-13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Image-Body-Art.aspx
Philharmonic Orchestra (Year 7 & 8),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Philharmonic-Orchestra.aspx
Research and Evaluation Skills (Year 12 & 13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Research-and-Evaluation-Skills.aspx
The Physics of Rockets (Year 7 & 8),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/The-physics-of-rockets.aspx
Where do medicines come from? (Year 12 & 13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Where-do-medicines-come-from.aspx
Write What You Don't Know (Years 11-13),Wednesday 27th November 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Write-What-You-Dont-Know.aspx
Missing numbers: macro regions and the political economic geography in first millenium CE Southeast Asia,Wednesday 27th November 2019 (14:15-16:00,N/A,Arts 201,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2019/cesma2711.aspx
Philosophy Society Seminar Series,Wednesday 27th November 2019 (15:15-17:00,N/A,ERI Building,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/philosophy/events/2019/philsoc2711.aspx
"Making the social care future, together",Thursday 28th November 2019 (17:30-19:00,N/A,"Alan Walters Building  G11, Edgbastion Campus, University of Birmingham","Lectures Talks and Workshops, Medical and Dental Sciences, Social Sciences",https://www.birmingham.ac.uk/research/health-and-social-care-leadership/events/2019/making-the-social-care-future-together.aspx
Binchois Consort,Friday 29th November 2019 (13:00-14:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-lunchtime-binchois-consort.aspx
Jazz Orchestra,Friday 29th November 2019 (19:30-21:30,N/A,CBSO Centre,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-jazz-orchestra.aspx
Birmingham History Day 2019,Saturday 30th November 2019 (10:00-16:30,N/A,Large Lecture Theatre - 1st Floor - Arts Building - University of Birmingham - B15 2TT,"Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/historycultures/departments/history/events/2019/birmingham-history-day-2019.aspx
Symphony Orchestra,Saturday 30th November 2019 (14:00-15:15,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-symphony-orchestra.aspx
Wind Band and String Orchestra,Sunday 1st December 2019 (15:00-17:00,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-wind-band-string-orchestra.aspx
Museum Tours,Monday 2nd December 2019 (12:00-13:00,N/A,Lapworth Museum of Geology - Earth Sciences Building (R4 on campus map),Life and Environmental Sciences,https://www.birmingham.ac.uk/facilities/lapworth-museum/events/lectures/2019/2Dec-MuseumTour.aspx
Lapworth Lecture - The Ecological Time Machine,Monday 2nd December 2019 (17:00-18:00,N/A,"Lecture Theatre WG5, Ground Floor, Aston Webb Building (R4)","Lectures Talks and Workshops, Life and Environmental Sciences",https://www.birmingham.ac.uk/facilities/lapworth-museum/events/lectures/2019/2Dec-LapworthLecture.aspx
Postcolonial Commemorative Practices Surrounding Monument aux Morts — The Afterlives of Indo-French Colonial Connections around Puducherry's French War Memorial,Tuesday 3rd December 2019 (16:00-17:30,N/A,Lecture Room 1 - Arts Building,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2019/brihc-lecture-jorgensen.aspx
On Secularism and Multiculturalism,Tuesday 3rd December 2019 (17:30-19:30,N/A,Lecture Room 5 - Arts Building,"Arts and Law, Lectures Talks and Workshops, Research, Students",https://www.birmingham.ac.uk/schools/ptr/departments/theologyandreligion/research/cpur/events/2019/tariq-momood.aspx
"Are Governments ""Murdering"" its citizens? (Year 11)",Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Are-Governments-Murdering-its-citizens.aspx
Can seaweed prevent intestinal disease? (Year 12 & 13),Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Can-seaweed-prevent-intestinal-disease.aspx
De Quincey's Confessions (1821) (Year 12 & 13),Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/De-Quinceys-Confessions-1821.aspx
Reading and Writing Fanfiction (Years 10-13),Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Reading-and-Writing-Fanfiction.aspx
Volcanic and Seismic Hazards at the Lapworth Museum of Geology (Years 11-13),Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Volcanic-and-Seismic-Hazards.aspx
What's your problem?! (Years 10-13),Wednesday 4th December 2019 (13:00-15:00,N/A,University of Birmingham,Lectures Talks and Workshops,https://www.birmingham.ac.uk/events/Masterclasses/Whats-your-problem.aspx
Ziyu He and Marie Hauzel,Wednesday 4th December 2019 (19:30-21:30,N/A,Barber Concert Hall,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-evening-ziyu-he-marie-hauzel.aspx
"New Approaches to Medieval Romance from the Eastern Mediterranean and Beyond, c. 1100-1500",Thursday 5th December 2019 (10:30-19:30,N/A,715 Muirhead Tower,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/historycultures/departments/caha/events/2020/bomgs-new-approaches.aspx
Hair in the BBC's The Hollow Crown: the Wars of the Roses,Thursday 5th December 2019 (14:00-15:00,N/A,"Stratford-upon-Avon, The Shakespeare Institute","Arts and Law, Lectures Talks and Workshops, Research, Students, Teaching",https://www.birmingham.ac.uk/schools/edacs/departments/shakespeare/events/2019/ts0512.aspx
The Caucasian Chalk Circle,Thursday 5th (19:30),Saturday 7th December 2019 (22:00),George Cadbury Hall - 998 Bristol Road - Selly Oak - B29 6LG,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/edacs/departments/drama/events/2019/caucasion-chalk-circle.aspx
A New Song,Friday 6th December 2019 (13:00-14:00,N/A,Concert Hall - Barber Institute,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/barber-lunchtime-a-new-song.aspx
Dr.eam Junior 2019,Saturday 7th December 2019 (09:30-17:00,N/A,University of Birmingham Medical School,Medical and Dental Sciences,https://www.birmingham.ac.uk/events/UGNewsletter/Dr.eam-Junior-2019.aspx
Philharmonic Orchestra,Saturday 7th December 2019 (19:30-21:30,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-philharmonic-orchestra.aspx
University Chorus,Sunday 8th December 2019 (15:00-17:00,N/A,Elgar Concert Hall - Bramall Music Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/music-society-university-chorus.aspx
Ezra's Legacy and the Dead Sea Scrolls conference,Sunday 8th (09:00),Tuesday 10th December 2019 (17:00),University of Birmingham,"Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/theologyandreligion/events/2019/ezra-in-the-dead-sea-scrolls.aspx
University Carol Service,Monday 9th December 2019 (18:15-20:00,N/A,Great Hall - Aston Webb Building,"Arts and Law, Performance",https://www.birmingham.ac.uk/schools/lcahm/departments/music/events/2019/autumn/university-carol-service.aspx
The silence about Ezra in the Dead Sea Scrolls: where do we go from here?,Monday 9th December 2019 (20:00-21:30,N/A,"B1 1BB, Birmingham, Birmingham City Council, The Chamberlain Room, Victoria Square, West Midlands","Arts and Law, Lectures Talks and Workshops, Research",https://www.birmingham.ac.uk/schools/ptr/departments/theologyandreligion/events/2019/ezra-in-the-dead-sea-scrolls.aspx
The Retreat from Multilateralism and the Challenges of Global Economic Governance from an EU Perspective,Tuesday 10th December 2019 (14:00-15:00,N/A,Lecture Theatre 1 - Birmingham Law School,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/law/events/2019/iel-annual-lecture.aspx
"Beyond the Marxist and ""culturalist"" divide. Ideology and democracy in classical Athens",Tuesday 10th December 2019 (16:00-17:30,N/A,Arts 201,"Arts and Law, Research",https://www.birmingham.ac.uk/schools/historycultures/events/2019/brihc-marteo-barbatto.aspx
